<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p01/d0058	Two children are playing with a ball in the park 	quantity.n.01 EQU 2 child.n.01 Quantity -1 time.n.08 EQU now play.v.05 Agent -2 Time -1 Instrument +1 Location +2 ball.n.01 park.n.02												
p58/d3346	Thomas was leaning on the railing of the ship. 	"male.n.02 Name ""Thomas"" time.n.08 TPR now lean.v.01 Theme -2 Time -1 Destination +1 railing.n.01 PartOf +1 ship.n.01"												
p05/d2539	He attempted to sidestep a conflict with his chief. 	male.n.02 attempt.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now sidestep.v.01 Agent -3 Theme +1 conflict.n.01 Co-Agent +2 male.n.02 ANA -5 person.n.01 Role +1 chief.n.02 Of -2												
p18/d0919	The train was moving at 500 miles per hour. 	train.n.01 time.n.08 TPR now move.v.01 Theme -2 Time -1 Value +3 quantity.n.01 EQU 500 mile.n.01 Quantity -1 division.n.11 Theme -1 Co-Theme +1 hour.n.01 Quantity 1												
p34/d3481	It took him three months to learn to ride a bicycle. 	time.n.08 TPR now male.n.02 quantity.n.01 EQU 3 month.n.02 Quantity -1 learn.v.01 Time -4 Agent -3 Duration -1 Topic +1 ride.v.02 Agent -4 Theme +1 bicycle.n.01												
p70/d3145	A book about dancing is lying on the desk. 	book.n.02 Topic +1 dance.n.01 time.n.08 EQU now lie.v.01 Theme -3 Time -1 Location +1 desk.n.01												
p03/d0236	I traded in my old car for a new one. 	person.n.01 EQU speaker trade_in.v.01 Agent -1 Time +1 Theme +4 Co-Theme +6 time.n.08 TPR now person.n.01 EQU speaker old.a.02 AttributeOf +1 car.n.01 User -2 new.a.05 AttributeOf +1 car.n.01												
p25/d1915	It took us two hours to get to Tokyo by train. 	"time.n.08 TPR now person.n.01 Sub speaker quantity.n.01 EQU 2 hour.n.01 Quantity -1 get.v.05 Time -4 Theme -3 Duration -1 Destination +1 Instrument +2 city.n.01 Name ""Tokyo"" train.n.01"												
p08/d1668	There were two red hats on this table two hours ago. 	entity.n.01 be.v.03 Time +1 Theme +4 EQU -1 Location +5 Time +8 time.n.08 TPR now quantity.n.01 EQU 2 red.a.01 hat.n.01 Quantity -2 Colour -1 table.n.02 quantity.n.01 EQU 2 hour.n.01 Quantity -1 TAB now time.n.08 TAB -1												
p79/d1749	This pigeon flew from San Francisco to New York. 	"pigeon.n.01 fly.v.01 Theme -1 Time +1 Source +2 Destination +3 time.n.08 TPR now city.n.01 Name ""San Francisco"" city.n.01 Name ""New York"""												
p10/d1214	Approximately 60,000 Saxon farmers were disowned during the agricultural reform. 	"quantity.n.01 APX 60000 state.n.01 Name ""saxony"" person.n.01 Quantity -2 Source -1 Role +1 farmer.n.01 time.n.08 TPR now disown.v.02 Patient -3 Time -1 Context +2 agricultural.a.02 AttributeOf +1 reform.n.01"												
p00/d3351	Tom's eyes are red, and he looks very tired. 	"male.n.02 Name ""Tom"" eye.n.01 PartOf -1 time.n.08 EQU now red.a.01 ColourOf -2 Time -1 CONTINUATION <1 male.n.02 ANA -4 look.v.02 Theme -1 Time +1 Attribute +3 time.n.08 EQU now very.r.01 tired.a.01 Experiencer -4 Degree -1"												
p74/d2441	The climate of England is similar to that of Hokkaido. 	"climate.n.01 PartOf +1 country.n.02 Name ""England"" time.n.08 EQU now similar.a.01 Theme -3 Time -1 Co-Theme +1 climate.n.01 PartOf +1 island.n.01 Name ""Hokkaido"""												
p70/d1846	I borrowed the screwdriver from a friend of mine. 	person.n.01 EQU speaker borrow.v.01 Agent -1 Time +1 Theme +2 Source +3 time.n.08 TPR now screwdriver.n.01 person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker												
p06/d1742	He suggested to her that she should buy it. 	male.n.02 suggest.v.01 Proposition >1 Causer -1 Time +1 Recipient +2 time.n.08 TPR now female.n.02 CONTINUATION <0 female.n.02 ANA -1 NECESSITY <1 buy.v.01 Agent -1 Theme +1 entity.n.01												
p03/d2026	Tomorrow it will rain in the south of England. 	"time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03 entity.n.01 time.n.08 TSU now rain.v.01 Time -5 EQU -2 Time -1 Location +1 south.n.04 Of +1 country.n.02 Name ""England"""												
p15/d2686	The poor cat was run over by a truck. 	poor.a.01 AttributeOf +1 cat.n.01 time.n.08 TPR now run_over.v.01 Patient -2 Time -1 Agent +1 truck.n.01												
p51/d2734	George W. Bush was born in the state of Connecticut in 1946. 	"male.n.02 Name ""george walker bush"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 Time +3 state.n.01 EQU +1 state.n.01 Name ""Connecticut"" time.n.08 YearOfCentury 1946"												
p94/d0712	Three people were killed by a storm in Saskatchewan.	"quantity.n.01 EQU 3 person.n.01 Quantity -1 time.n.08 TPR now kill.v.10 Patient -2 Time -1 Causer +1 Location +2 storm.n.01 state.n.01 Name ""Saskatchewan"""												
p47/d2558	The mountain is not as high as Mt. Fuji. 	"mountain.n.01 NEGATION <1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +2 high.a.01 AttributeOf -3 Time -2 Degree -1 mountain.n.01 Name ""mount fuji"""												
p02/d2868	The word processor on the desk is my father's. 	word_processor.n.01 Location +1 desk.n.01 be.v.02 Theme -2 Time +1 Co-Theme +5 time.n.08 EQU now person.n.01 EQU speaker person.n.01 Role +1 father.n.01 Of -2 word_processor.n.01 User -2												
p40/d2851	The Statue of Liberty is located in New York. 	"sculpture.n.01 Name ""Statue of Liberty"" time.n.08 EQU now located.a.01 Theme -2 Time -1 Location +1 city.n.01 Name ""New York"""												
p10/d3126	I will meet you at the station at 10 a.m. 	person.n.01 EQU speaker time.n.08 TSU now meet.v.02 Theme -2 Time -1 Co-Theme +1 Location +2 Time +3 person.n.01 EQU hearer station.n.01 time.n.08 ClockTime 10:00												
p62/d1552	Saburo snatched up all the snacks that were sitting on the table. 	"male.n.02 Name ""Saburo"" NEGATION <1 entity.n.01 SubOf +1 snack.n.01 time.n.08 TPR now sit.v.07 Theme -2 Time -1 Location +1 table.n.01 NEGATION <1 snatch_up.v.01 Agent -6 Theme -5 Time +1 time.n.08 TPR now"												
p91/d1389	How many people in the Netherlands are addicted to hard drugs? 	"person.n.01 Quantity ? Location +1 country.n.02 Name ""Netherlands"" time.n.08 EQU now addicted.a.01 Experiencer -3 Time -1 Stimulus +1 hard_drug.n.01"												
p47/d0837	He tried in vain to lift up the stone. 	male.n.02 try.v.01 Agent -1 Time +1 Manner +2 Theme +3 time.n.08 TPR now in_vain.r.01 lift_up.v.01 Agent -4 Patient +1 stone.n.01												
p00/d2861	This is a map of the city of Sendai. 	"entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now map.n.01 Content +1 city.n.01 EQU +1 city.n.01 Name ""Sendai"""												
p60/d0775	I'm very sensitive to cold. May I have another blanket? 	person.n.01 EQU speaker time.n.08 EQU now very.r.01 sensitive.a.01 Experiencer -3 Time -2 Degree -1 Stimulus +1 cold.n.02 CONTINUATION <1 POSSIBILITY <1 person.n.01 EQU speaker have.v.01 Pivot -1 Theme +2 blanket.n.01 NEQ +1 blanket.n.01												
p58/d1724	Tom tied the canoe to the top of his car. 	"male.n.02 Name ""Tom"" tie.v.01 Agent -1 Time +1 Patient +2 Co-Patient +3 time.n.08 TPR now canoe.n.01 top.n.01 PartOf +2 male.n.02 ANA -5 car.n.01 User -1"												
p66/d1799	The train station is located in the center of the city. 	train_station.n.01 time.n.08 EQU now located.a.01 Theme -2 Time -1 Location +1 center.n.01 PartOf +1 city.n.01												
p90/d1794	That country broke off diplomatic relations with the United States. 	"country.n.01 break_off.v.02 Agent -1 Time +1 Patient +3 time.n.08 TPR now diplomatic.a.01 AttributeOf +1 relation.n.06 Theme +1 state.n.04 Name ""United States"""												
p30/d0842	He has written a number of exciting detective stories. 	male.n.02 write.v.01 Agent -1 Time +1 Result +2 time.n.08 TPR now entity.n.01 Quantity + EQU +2 exciting.a.02 AttributeOf +1 detective_story.n.01												
p95/d0849	She is from Hokkaido, but is now living in Tokyo. 	"female.n.02 be.v.03 Theme -1 Time +1 Source +2 time.n.08 EQU now island.n.01 Name ""Hokkaido"" time.n.08 EQU now time.n.08 EQU now live.v.01 Theme -6 Time -2 Time -1 Location +1 city.n.01 Name ""Tokyo"""												
p28/d3262	The bag I left on the passenger seat is missing! 	bag.n.01 person.n.01 EQU speaker leave.v.14 Theme -2 Agent -1 Time +1 Location +3 time.n.08 TPR now passenger.n.01 seat.n.01 Role -1 time.n.08 EQU now missing.a.01 AttributeOf -7 Time -1												
p76/d2635	The skyscraper is in the center of the city. 	skyscraper.n.01 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now center.n.01 PartOf +1 city.n.01												
p06/d2737	I farted in class and the teacher threw me out. 	person.n.01 EQU speaker fart.v.01 Agent -1 Time +1 Location +2 time.n.08 TPR now class.n.02 CONTINUATION <1 person.n.01 Role +1 teacher.n.01 throw_out.v.01 Agent -2 Time +1 Theme +2 time.n.08 TPR now person.n.01 EQU speaker												
p17/d1893	The fine arts flourished in Italy in the 15th century. 	"fine_arts.n.01 flourish.v.01 Patient -1 Time +1 Location +2 Time +3 time.n.08 TPR now country.n.02 Name ""Italy"" century.n.01 Order 15"												
p40/d2270	Millions of people in the United States are unemployed. 	"entity.n.01 Quantity +1 EQU +2 Location +3 quantity.n.01 MOR 2000000 person.n.01 country.n.02 Name ""United States"" time.n.08 EQU now unemployed.a.01 AttributeOf -5 Time -1"												
p81/d2546	The girl was sobbing in the corner of the schoolroom. 	girl.n.01 time.n.08 TPR now sob.v.01 Agent -2 Time -1 Location +1 corner.n.03 PartOf +1 schoolroom.n.01												
p23/d2513	"""Are you still cold,"" she asked, as she kissed him on the forehead. "	time.n.08 EQU now person.n.01 EQU hearer cold.a.01 Time -2 AttributeOf -1 CONTINUATION <0 female.n.02 ask.v.01 Proposition <1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <3 female.n.02 ANA -3 kiss.v.01 Agent -1 Time +1 Co-Agent +2 Experiencer +3 time.n.08 TPR now male.n.02 forehead.n.01												
p70/d2783	The man dancing on the stage is my uncle. 	man.n.01 dance.v.02 Agent -1 Location +1 stage.n.03 be.v.02 Theme -3 Time +1 Co-Theme +3 time.n.08 EQU now person.n.01 EQU speaker person.n.01 Role +1 uncle.n.01 Of -2												
p31/d1517	The official dinner took place at the White House. 	"official.a.01 AttributeOf +1 dinner.n.01 take_place.v.01 Theme -1 Time +1 EQU +2 Location +3 time.n.08 TPR now entity.n.01 house.n.01 Name ""White House"""												
p58/d2224	The Mona Lisa was painted by Leonardo da Vinci. 	"painting.n.01 Name ""Mona Lisa"" time.n.08 TPR now paint.v.01 Result -2 Time -1 Agent +1 male.n.02 Name ""Leonardo da Vinci"""												
p65/d1638	If he is not rich, he is at any rate happy. 	male.n.02 NEGATION <1 time.n.08 EQU now rich.a.01 AttributeOf -2 Time -1 CONSEQUENCE <1 male.n.02 ANA -3 time.n.08 EQU now at_any_rate.r.02 happy.a.01 Experiencer -3 Time -2 Manner -1												
p10/d1598	Tom puts stevia in his coffee instead of sugar. 	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Theme +2 Destination +4 time.n.08 EQU now stevia.n.01 male.n.02 ANA -4 coffee.n.01 Consumer -1 NEGATION <1 entity.n.01 EQU -5 Theme +1 sugar.n.01"												
p95/d0707	Bush returned home as a war hero. He married Barbara and enrolled at Yale.	"male.n.02 Name ""Bush"" return.v.01 Theme -1 Time +1 Destination +2 Attribute +4 time.n.08 TPR now home.n.01 war.n.01 person.n.01 Role +1 hero.n.01 Theme -2 CONTINUATION <1 male.n.02 ANA -7 marry.v.01 Agent -1 Time +1 Co-Agent +2 time.n.08 TPR now female.n.02 Name ""Barbara"" enrol.v.01 Theme -4 Time +1 Goal +2 time.n.08 TPR now university.n.03 Name ""Yale"""												
p72/d3096	Tom folded his clothes and put them in his suitcase. 	"male.n.02 Name ""Tom"" fold.v.01 Agent -1 Time +1 Patient +3 time.n.08 TPR now male.n.02 ANA -3 clothes.n.01 User -1 put.v.01 Agent -5 Time +1 Theme +2 Destination +4 time.n.08 TPR now entity.n.01 ANA -3 male.n.02 ANA -8 suitcase.n.01 User -1"												
p50/d0834	She was too proud to ask him for help. 	female.n.02 time.n.08 TPR now proud.a.01 Experiencer -2 Time -1 NEGATION <1 POSSIBILITY <1 ask.v.02 Agent -3 Recipient +1 Topic +2 male.n.02 help.n.01												
p16/d1386	What is the name of the head of the Australian Federal Government? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.01 Bearer +1 person.n.01 Role +1 head.n.04 PartOf +2 country.n.02 Name ""australia"" federal_government.n.01 Location -1"												
p16/d3501	Tom is going to pick me up at 2:30. 	"male.n.02 Name ""Tom"" time.n.08 TSU now pick_up.v.03 Agent -2 Time -1 Theme +1 Time +2 person.n.01 EQU speaker time.n.08 ClockTime 14:30"												
p02/d0128	I recognized some of the tunes that Tom played. 	"person.n.01 EQU speaker recognize.v.04 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now entity.n.01 SubOf +1 tune.n.01 male.n.02 Name ""Tom"" play.v.06 Theme -2 Agent -1 Time +1 time.n.08 TPR now"												
p32/d1136	On the 23rd of October occurred the naval battle with a German squadron in the Gulf of Riga. 	"time.n.08 DayOfMonth 23 EQU +1 time.n.08 MonthOfYear 10 occur.v.01 Time -2 Time +1 Theme +3 Location +6 time.n.08 TPR now naval.a.01 AttributeOf +1 battle.n.01 Co-Agent +2 country.n.02 Name ""Germany"" squadron.n.03 Source -1 gulf.n.01 Name ""Gulf of Riga"""												
p13/d1966	Despite his wealth, he is not at all happy. 	male.n.02 NEGATION <1 time.n.08 EQU now happy.a.02 Experiencer -2 Time -1 CONTRAST <1 event.v.01 Participant +2 male.n.02 wealth.n.01 User -1												
p08/d3046	She bought a hair brush and a tooth brush. 	female.n.02 buy.v.01 Agent -1 Time +1 Theme +3 time.n.08 TPR now hairbrush.n.01 entity.n.01 Sub -1 Sub +1 toothbrush.n.01												
p23/d2041	There used to be a castle on this hill. 	entity.n.01 time.n.08 TPR now be.v.03 Time -1 EQU -2 Theme +1 Location +2 castle.n.02 hill.n.01												
p31/d1357	A typical reception of prisoners took place on May 24, 1945. 	typical.a.01 AttributeOf +1 reception.n.02 Part +1 person.n.01 Role +1 prisoner.n.01 take_place.v.01 Theme -3 Time +1 EQU +2 Time +4 time.n.08 TPR now entity.n.01 time.n.08 MonthOfYear 5 EQU +1 time.n.08 DayOfMonth 24 EQU +1 time.n.08 YearOfCentury 1945												
p15/d2660	My pen is old. I want a new one. 	person.n.01 EQU speaker pen.n.01 User -1 time.n.08 EQU now old.a.02 AttributeOf -2 Time -1 CONTINUATION <1 person.n.01 EQU speaker want.v.01 Pivot -1 Time +1 Theme +3 time.n.08 EQU now new.a.01 AttributeOf +1 pen.n.01												
p70/d0812	The children took their ice skates and made for the frozen pond. 	child.n.01 take.v.04 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 ice_skate.n.01 User -1 make.v.28 Agent -5 Time +1 Destination +3 time.n.08 TPR now frozen.a.01 AttributeOf +1 pond.n.01												
p03/d3115	The teacher joked that she was 90 years old. 	person.n.01 Role +1 teacher.n.01 joke.v.01 Proposition >1 Agent -2 Time +1 time.n.08 TPR now CONTINUATION <0 female.n.02 time.n.08 TPR now quantity.n.01 EQU 90 year.n.01 Quantity -1 old.a.01 Theme -4 Time -3 Value -1												
p28/d2819	He will be in New York for two weeks. 	"male.n.02 time.n.08 TSU now be.v.03 Theme -2 Time -1 Location +1 Duration +3 city.n.03 Name ""New York"" quantity.n.01 EQU 2 week.n.01 Quantity -1"												
p90/d1385	What is the exchange rate of the yuan to the dollar? 	entity.n.01 EQU ? be.v.06 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now exchange_rate.n.01 Theme +1 Co-Theme +2 yuan.n.01 dollar.n.01												
p73/d1691	The hotel at which we stayed was very comfortable. 	hotel.n.01 entity.n.01 Location -1 EQU +2 person.n.01 Sub speaker stay.v.02 Theme -1 Time +1 time.n.08 TPR now time.n.08 TPR now very.r.01 comfortable.a.01 AttributeOf -7 Time -2 Degree -1												
p03/d2003	The Steve Miller Band released a new album in June of 2010. 	"musical_organization.n.01 Name ""Steve Miller Band"" release.v.04 Agent -1 Time +1 Theme +3 Time +4 time.n.08 TPR now new.a.01 AttributeOf +1 album.n.01 time.n.08 MonthOfYear 6 YearOfCentury 2010 time.n.08 EQU -1"												
p80/d0018	A man is resting on a chair and rubbing his eyes 	man.n.01 time.n.08 EQU now time.n.08 EQU now rest.v.01 Theme -3 Time -2 Location +1 chair.n.01 rub.v.01 Agent -5 Time -3 Patient +2 male.n.02 eye.n.01 PartOf -1												
p31/d2893	A shark is a fish while a dolphin is a mammal. 	NEGATION <1 shark.n.01 NEGATION <1 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now fish.n.01 CONTRAST <1 NEGATION <1 dolphin.n.02 NEGATION <1 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now mammal.n.01												
p41/d3041	Then Robert woke up again, and all of his limbs were hurting. 	"male.n.02 Name ""Robert"" wake_up.v.02 Patient -1 Time +1 time.n.08 TPR now CONTINUATION <1 NEGATION <1 entity.n.01 SubOf +2 male.n.02 ANA -4 limb.n.01 PartOf -1 time.n.08 TPR now NEGATION <1 hurt.v.01 Patient -4 Time -1"												
p86/d2998	Everyone in the city appears to be constantly on the go. 	NEGATION <1 person.n.01 Location +1 city.n.01 NEGATION <1 appear.v.01 Theme -2 Time +1 Attribute +3 time.n.08 EQU now constantly.r.02 on_the_go.a.01 AttributeOf -5 Manner -1												
p73/d2298	The rate of exchange is 145 yen to the dollar. 	rate_of_exchange.n.01 be.v.06 Pivot -1 Time +1 Theme +3 Co-Theme +4 time.n.08 EQU now quantity.n.01 EQU 145 yen.n.02 Quantity -1 dollar.n.01 Quantity 1												
p99/d2718	I used to run a small bookstore in a shopping centre. 	person.n.01 EQU speaker time.n.08 TPR now run.v.04 Agent -2 Time -1 Theme +2 small.a.01 Value + bookstore.n.01 Attribute -1 Location +1 shopping_centre.n.01												
p04/d2907	The submarine can dive up to a 1000 feet. 	submarine.n.01 POSSIBILITY <1 dive.v.03 Theme -1 Value +3 quantity.n.01 TOP +1 quantity.n.01 EQU 1000 foot.n.02 Quantity -2												
p02/d1309	"""Terrible weather,"" said Baron von S. His wife looked nervous. "	"terrible.a.01 AttributeOf +1 weather.n.01 say.v.01 Theme -1 Time +1 Agent +3 time.n.08 TPR now baron.n.01 person.n.01 Name ""von S."" Title -1 CONTINUATION <1 male.n.02 ANA -1 person.n.01 Role +1 wife.n.01 Of -2 look.v.03 Theme -2 Time +1 Attribute +2 time.n.08 TPR now nervous.a.02 AttributeOf -4"												
p57/d0350	Joseph walked into the office and removed his flat cap. 	"male.n.02 Name ""Joseph"" walk.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now office.n.01 remove.v.01 Agent -4 Time +1 Theme +3 time.n.08 TPR now male.n.02 ANA -6 flat_cap.n.01 User -1"												
p97/d3002	The little girl was absorbed in reading a fairy tale. 	little.a.03 AttributeOf +1 girl.n.01 time.n.08 TPR now absorbed.a.01 Experiencer -2 Time -1 Stimulus +1 read.v.01 Theme +1 fairy_tale.n.01												
p43/d2334	There are many countries and many cultures on Earth. 	"entity.n.01 be.v.03 Time +1 EQU -1 Theme +3 Location +5 time.n.08 EQU now country.n.02 Quantity + entity.n.01 Sub -1 Sub +1 culture.n.01 Quantity + planet.n.03 Name ""Earth"""												
p14/d3314	I threw a ball to my dog and he caught it in his mouth. 	person.n.01 EQU speaker throw.v.01 Agent -1 Time +1 Theme +2 Destination +4 time.n.08 TPR now ball.n.01 person.n.01 EQU speaker dog.n.01 Owner -1 CONTINUATION <1 male.n.02 ANA -1 catch.v.04 Agent -1 Time +1 Theme +2 Instrument +4 time.n.08 TPR now entity.n.01 ANA -6 male.n.02 ANA -5 mouth.n.01 PartOf -1												
p75/d0914	My uncle is slim, but my aunt is fat. 	person.n.01 EQU speaker person.n.01 Role +1 uncle.n.01 Of -2 time.n.08 EQU now slim.a.01 AttributeOf -3 Time -1 CONTRAST <1 person.n.01 EQU speaker person.n.01 Role +1 aunt.n.01 Of -2 time.n.08 EQU now fat.a.01 AttributeOf -3 Time -1												
